EXIO3,year,Country Area,Land Use,Pourcentage
CH,1978,39528.0,28041.139145,70.93993914440397
CN,1978,9424680.0,6687070.0,70.95275383355191
CY,1978,9240.0,3283.799991,35.53896094155844
DE,1978,349130.0,291886.451631,83.60394455675535
DK,1978,40000.0,34187.520753,85.46880188249999
ES,1978,499530.0,466907.382031,93.46933758352851
FI,1978,304590.0,246023.765171,80.77210846416494
FR,1978,547566.0,462975.555898,84.55155285353729
GB,1978,241930.0,211782.371094,87.53869759599884
GR,1978,128900.0,128788.767734,99.91370654305663
HU,1978,89970.0,82382.269448,91.56637706791153
ID,1978,1811570.0,1454620.0,80.29609675585266
IE,1978,68890.0,54401.399844,78.96850028160837
IN,1978,2973190.0,2488591.0,83.70104164214194
IT,1978,294110.0,244389.819902,83.09469922885994
JP,1978,366400.0,302690.595203,82.6120620095524
KR,1978,96460.0,82754.078984,85.79108333402446
LU,1978,2574.46,2122.970024,82.46273098047747
MT,1978,320.0,142.689999,44.590624687500004
MX,1978,1943950.0,1720854.0,88.52357313716917
NL,1978,33760.0,23741.839273,70.32535329680096
NO,1978,365244.0,131142.156255,35.905355393928446
PL,1978,306290.0,283139.672029,92.44169644095464
PT,1978,91500.0,73226.520615,80.02898427868853
RO,1978,230340.0,210815.799082,91.52374710514891
SE,1978,407339.7,312545.665627,76.72850587040742
TR,1978,769630.0,596764.89043,77.53919291477723
TW,1978,35410.0,9180.010234,25.92490887884778
US,1978,9158960.0,7353308.0,80.28540358293955
WA,1978,7292028.74,5398159.0,74.02821892882446
WE,1978,130315.25,39727.700716,30.485841615620583
WF,1978,23962685.0,14251430.0,59.473427122211056
WL,1978,10213233.61,7411475.0,72.56736977741568
WM,1978,6459790.0,2106879.0,32.61528625543555
ZA,1978,1213090.0,1127786.0,92.96804029379518
AT,1979,82520.0,67388.28863,81.66297701163354
AU,1979,7682300.0,6001256.0,78.1179594652643
BE,1979,30099.34,21128.95978,70.1974188802811
BG,1979,110630.0,93717.061553,84.71215904637079
BR,1979,8358140.0,7647172.0,91.49370553735639
CA,1979,8965590.0,4085048.0,45.56362715671808
CH,1979,39528.71,28092.090016,71.06756080833398
CN,1979,9424680.0,6702781.0,71.119454453626
CY,1979,9240.0,3273.179965,35.4240255952381
DE,1979,349130.0,291655.103914,83.53768049551742
DK,1979,40000.0,34180.641065,85.45160266250001
ES,1979,499540.0,466469.292578,93.3797679020699
FI,1979,304590.0,246019.734337,80.77078510029875
FR,1979,547566.0,462441.051875,84.45393831519853
GB,1979,241930.0,211597.382851,87.46223405571861
GR,1979,128900.0,128848.770312,99.96025625446082
HU,1979,89920.0,82076.419912,91.27715737544484
ID,1979,1811570.0,1454805.0,80.30630889228681
IE,1979,68890.0,54487.559722,79.09356905501524
IN,1979,2973190.0,2488536.0,83.69919177718208
IT,1979,294110.0,244483.493379,83.12654903913501
JP,1979,366400.0,302675.54819,82.60795529203057
KR,1979,96460.0,82747.01166,85.78375664524155
LU,1979,2574.46,2124.050042,82.50468222462186
MT,1979,320.0,142.689999,44.590624687500004
MX,1979,1943950.0,1721844.0,88.57450037295197
NL,1979,33760.0,23640.959974,70.02654020734597
NO,1979,365244.0,131301.111466,35.948875673796145
PL,1979,306290.0,282509.680718,92.23601185739004
PT,1979,91500.0,73239.112276,80.0427456568306
RO,1979,230340.0,210824.013516,91.52731332638707
SE,1979,407339.7,312539.233892,76.72692690940755
TR,1979,769630.0,599910.203984,77.94787157257383
TW,1979,35410.0,9150.00002,25.840158203897204
US,1979,9158960.0,7353308.0,80.28540358293955
WA,1979,7292028.74,5392973.0,73.95710017456678
WE,1979,130315.25,39639.158642,30.41789709339467
WF,1979,23962685.0,14256670.0,59.4952944546907
WL,1979,10213233.61,7410935.0,72.5620825195244
WM,1979,6459790.0,2114239.0,32.72922184776905
ZA,1979,1213090.0,1127721.0,92.96268207635048
AT,1980,82520.0,67384.577615,81.65847990184197
AU,1980,7682300.0,6017209.44,78.32562435728883
BE,1980,30109.96,21106.290412,70.0973711423064
BG,1980,110630.0,93619.38875,84.62387123745819
BR,1980,8358140.0,7649483.0,91.52135522975207
CA,1980,8965590.0,4084179.0,45.55393454306967
CH,1980,39528.71,28072.360123,71.0176479905365
CN,1980,9424680.0,6718850.525,71.289959181638
